. Sequence file : [Blattabacteria16S.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.61836   0.06455  -0.89385   0.21093  
      	     	          	           	          	           	             	                                      	 0.32693   0.62260   0.26675  -1.21629  

  #38	21   	-7439.98407	Yes        	4        	0.261    	0.000    	 0.27775   0.19918   0.28812   0.23494	-1.12425   0.11351   0.66061   0.35013  
      	     	          	           	          	           	             	                                      	 0.15828  -0.90333   0.03479   0.71026  
      	     	          	           	          	           	             	                                      	 0.63682   0.02405  -0.79741   0.13654  
      	     	          	           	          	           	             	                                      	 0.41392   0.60215   0.16744  -1.18351  

  #39	21   	-7362.75224	Yes        	4        	0.227    	0.000    	 0.29885   0.17341   0.28130   0.24645	-1.00579   0.12671   0.57655   0.30253  
      	     	          	           	          	           	             	                                      	 0.21837  -1.17506   0.09582   0.86088  
      	     	          	           	          	           	             	                                      	 0.61251   0.05907  -0.79076   0.11919  
      	     	          	           	          	           	             	                                      	 0.36685   0.60573   0.13604  -1.10863  

  #40	21   	-7781.13857	Yes        	4        	0.207    	0.000    	 0.27101   0.20832   0.27181   0.24886	-0.99956   0.10942   0.52409   0.36605  
      	     	          	           	          	           	             	                                      	 0.14235  -0.92955   0.07522   0.71199  
      	     	          	           	          	           	             	                                      	 0.52253   0.05765  -0.81976   0.23958  
      	     	          	           	          	           	             	                                      	 0.39863   0.59600   0.26168  -1.25631  

  #41	21   	-7634.72999	Yes        	4        	0.252    	0.000    	 0.29056   0.20162   0.27143   0.23639	-0.99190   0.10827   0.64710   0.23653  
      	     	          	           	          	           	             	                                      	 0.15603  -0.96255   0.08823   0.71830  
      	     	          	           	          	           	             	                                      	 0.69269   0.06554  -0.93941   0.18119  
      	     	          	           	          	           	             	                                      	 0.29074   0.61267   0.20805  -1.11146  

  #42	21   	-7317.73016	Yes        	4        	0.252    	0.000    	 0.26245   0.21253   0.27886   0.24617	-1.12442   0.12206   0.68746   0.31490  
      	     	          	           	          	           	             	                                      	 0.15073  -0.89693   0.05934   0.68687  
      	     	          	           	          	           	             	                                      	 0.64700   0.04523  -0.85830   0.16607  
      	     	          	           	          	           	             	                                      	 0.33573   0.59301   0.18812  -1.11686  

  #43	21   	-7679.09920	Yes        	4        	0.237    	0.000    	 0.28448   0.19833   0.27804   0.23915	-1.00211   0.10343   0.59966   0.29902  
      	     	          	           	          	           	             	                                      	 0.14835  -1.02391   0.10808   0.76748  
      	     	          	           	          	           	             	                                      	 0.61356   0.07710  -0.83907   0.14841  
      	     	          	           	          	           	             	                                      	 0.35570   0.63651   0.17255  -1.16476  

  #44	21   	-7610.58190	Yes        	4        	0.268    	0.000    	 0.29260   0.20779   0.26405   0.23556	-0.95297   0.10601   0.52964   0.31733  
      	     	          	           	          	           	             	                                      	 0.14928  -1.02679   0.07911   0.79841  
      	     	          	           	          	           	             	                                      	 0.58691   0.06225  -0.79620   0.14703  
      	     	          	           	          	           	             	                                      	 0.39416   0.70426   0.16481  -1.26323  

  #45	21   	-7779.11125	Yes        	4        	0.246    	0.000    	 0.27314   0.20189   0.26674   0.25823	-1.05554   0.12353   0.63566   0.29635  
      	     	          	           	          	           	             	                                      	 0.16712  -1.00697   0.09252   0.74733  
      	     	          	           	          	           	             	                                      	 0.65092   0.07003  -0.87890   0.15796  
      	     	          	           	          	           	             	                                      	 0.31346   0.58426   0.16317  -1.06089  

  #46	21   	-7532.98483	Yes        	4        	0.293    	0.000    	 0.28254   0.19368   0.29063   0.23315	-1.08389   0.13041   0.64995   0.30353  
      	     	          	           	          	           	             	                                      	 0.19024  -0.96362   0.11610   0.65727  
      	     	          	           	          	           	             	                                      	 0.63186   0.07737  -0.86053   0.15130  
      	     	          	           	          	           	             	                                      	 0.36784   0.54599   0.18860  -1.10242  

  #47	21   	-7898.68204	Yes        	4        	0.232    	0.000    	 0.27525   0.19553   0.28340   0.24582	-1.10344   0.08990   0.69034   0.32320  
      	     	          	           	          	           	             	                                      	 0.12656  -0.85827   0.04048   0.69123  
      	     	          	           	          	           	             	                                      	 0.67049   0.02793  -0.88615   0.18773  
      	     	          	           	          	           	             	                                      	 0.36190   0.54983   0.21643  -1.12816  

  #48	21   	-7733.61910	Yes        	4        	0.217    	0.000    	 0.28645   0.20604   0.26716   0.24035	-1.00934   0.10699   0.58459   0.31775  
      	     	          	           	          	           	             	                                      	 0.14875  -0.97001   0.09870   0.72257  
      	     	          	           	          	           	             	                                      	 0.62680   0.07612  -0.85886   0.15595  
      	     	          	           	          	           	             	                                      	 0.37870   0.61943   0.17334  -1.17147  

  #49	21   	-7420.36751	Yes        	4        	0.236    	0.000    	 0.27552   0.20277   0.28865   0.23306	-1.07975   0.10999   0.61702   0.35274  
      	     	          	           	          	           	             	                                      	 0.14946  -0.97544   0.08041   0.74557  
      	     	          	           	          	           	             	                                      	 0.58896   0.05649  -0.76678   0.12134  
      	     	          	           	          	           	             	                                      	 0.41700   0.64865   0.15028  -1.21593  

  #50	21   	-7889.38441	Yes        	4        	0.295    	0.000    	 0.27669   0.20591   0.27951   0.23789	-1.00929   0.13484   0.53731   0.33714  
      	     	          	           	          	           	             	                                      	 0.18120  -1.03287   0.07924   0.77244  
      	     	          	           	          	           	             	                                      	 0.53189   0.05837  -0.75258   0.16232  
